MICEXINDEXCF	Индекс ММВБ
UDSBP	УдмуртЭнергоСбыт пр.
RU0009087035	Удмуртнефть пр.
URSI	УралСвязьИн
URSIP	УралСвязьИн пр.
URKA	Уралкалий
RU14UFMK3008	Уфимский МК-3
FEES	ФСК ЕЭС
PHST	Фармстандарт
FSRV	ФинСервис
FLKO	Финанс-Лизинг
RU0008117536	Финпромбанк
TGKJ	Фортум
MRKH	Холдинг МРСК
MRKHP	Холдинг МРСК пр.
WTCM	ЦМТ
WTCMP	ЦМТ пр.
TZUM	ЦУМ
CNTL	ЦентрТелеграф
CTLK	ЦентрТелеком
CTLKP	ЦентрТелеком пр.
CHZN	ЧЦЗ
CLSB	ЧелябЭнергоСбыт
CLSBP	ЧелябЭнергоСбыт пр.
CHKZ	Челябинский КПЗ
CHMK	Челябинский МК
CHEP	Челябинский ТПЗ
RU0009082291	Черногорнефть
CHSB	ЧитаЭнергоСбыт
CHSBP	ЧитаЭнергоСбыт пр.
OGKE	Энел ОГК-5
RTSB	Энергосбыт РостовЭн
RTSBP	Энергосбыт РостовЭн пр.
UTEL	ЮТК
UTELP	ЮТК пр.
UTAR	ЮТэйр
RU0008927173	ЮганскНГ
RU14YFGA1016	ЮганскНГ пр.
UKUZ	Южный Кузбасс
YKEN	ЯкутскЭн
YKENP	ЯкутскЭн пр.
YRSB	ЯрославльСбытКомпания
YRSBP	ЯрославльСбытКомпания пр.
